time(millis),values,Grams,Newtons,multiplier,offset
39431,-424716,89.76524,,0.00111,561.2
39515,-424667,89.81963,,0.00111,561.2
39599,-424619,89.87291,,0.00111,561.2
39684,-424552,89.94728,,0.00111,561.2
39768,-424541,89.95949,,0.00111,561.2
39852,-424580,89.9162,,0.00111,561.2
39936,-424596,89.89844,,0.00111,561.2
40020,-424647,89.84183,,0.00111,561.2
40105,-424653,89.83517,,0.00111,561.2
40189,-424652,89.83628,,0.00111,561.2
40273,-424644,89.84516,,0.00111,561.2
40357,-424615,89.87735,,0.00111,561.2
40441,-424597,89.89733,,0.00111,561.2
40526,-424558,89.94062,,0.00111,561.2
40610,-424541,89.95949,,0.00111,561.2
40694,-424531,89.97059,,0.00111,561.2
40778,-424530,89.9717,,0.00111,561.2
40862,-424569,89.92841,,0.00111,561.2
40947,-424584,89.91176,,0.00111,561.2
41031,-424587,89.90843,,0.00111,561.2
41115,-424544,89.95616,,0.00111,561.2
41199,-424525,89.97725,,0.00111,561.2
41283,-424610,89.8829,,0.00111,561.2
41367,-424886,89.57654,,0.00111,561.2
41452,-425001,89.44889,,0.00111,561.2
41536,-424980,89.4722,,0.00111,561.2
41620,-424934,89.52326,,0.00111,561.2
41704,-424912,89.54768,,0.00111,561.2
41788,-424950,89.5055,,0.00111,561.2
41873,-424970,89.4833,,0.00111,561.2
41957,-424922,89.53658,,0.00111,561.2
42041,-424895,89.56655,,0.00111,561.2
42125,-424898,89.56322,,0.00111,561.2
42209,-424907,89.55323,,0.00111,561.2
42294,-424882,89.58098,,0.00111,561.2
42378,-424871,89.59319,,0.00111,561.2
42462,-424861,89.60429,,0.00111,561.2
42546,-424859,89.60651,,0.00111,561.2
42630,-424872,89.59208,,0.00111,561.2
42715,-424855,89.61095,,0.00111,561.2
42799,-424902,89.55878,,0.00111,561.2
42883,-424804,89.66756,,0.00111,561.2
42967,-423279,91.36031,,0.00111,561.2
43051,-414729,100.85081,,0.00111,561.2
43136,-397056,120.46784,,0.00111,561.2
43220,-364289,156.83921,,0.00111,561.2
43304,-300441,227.71049,,0.00111,561.2
43388,-192915,347.06435,,0.00111,561.2
43472,-47974,507.94886,,0.00111,561.2
43557,126019,701.08109,,0.00111,561.2
43641,318781,915.04691,,0.00111,561.2
43725,434636,1043.64596,,0.00111,561.2
